department,course_code,title,units,description
AEROENG,AERO ENG 1,Aerospace Engineering 1 Seminar,1,This is a freshman-level seminar course offered every Fall semester consisting of general-audience lectures by leading practitioners of aerospace engineering from the Bay Area and beyond. This seminar will be coordinated by a faculty member in charge of identifying and scheduling the speakers.
AEROENG,AERO ENG 2,Aerospace Engineering 2 Seminar,1,This is a freshman-level seminar course offered every Spring semester that showcases aerospace-related research by the UC Berkeley campus engineering and scientific community (including Lawrence Berkeley National Laboratory and the Space Sciences Laboratory). This seminar will be coordinated by one of the faculty who will be in charge of scheduling the speakers.
AEROENG,AERO ENG 10,Introduction to Aerospace Engineering Design,4,"This course introduces mathematical engineering concepts and a wide range of analysis and design techniques of relevance to aerospace engineering via approximately 3-week modules covering the following topics: dynamics and control of a small quad-rotor aircraft; dynamics of elliptic, hyperbolic, and parabolic orbits, including rendezvous of objects in the same circular orbit; control volume analysis of a rocket engine; sling-shot effect to drive"
AEROENG,AERO ENG 24,Freshman Seminars,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
AEROENG,AERO ENG 98,Supervised Group Study and Research,1,Organized group study on various topics selected by lower division students under the sponsorship and direction of a member of the Aerospace Engineering faculty.
AEROENG,AERO ENG 100,Aerospace Capstone,4,"This capstone course challenges students to integrate their aerospace knowledge to design, analyze and build a system for an aerospace mission. Students can choose to focus on astronautical satellite systems or aeronautical drone systems. The course covers topics including structures, materials and environments, orbital and flight mechanics, attitude determination, stability and control, aeronautical and astronautical propulsion, aerodynamics, communications, and systems"
AEROENG,AERO ENG C162,Introduction to Flight Mechanics,3,"This course introduces flight mechanics and a wide range of analysis and design techniques of relevance to the flight and performance characteristics of aerospace vehicles. The course consists of 6 major modules with the following topics: introduction, flow types, lift and drag, aircraft performance, stability and control, and, prominently, space flight. The entire course is enriched with numerous practical examples from real life that help to"
AEROENG,AERO ENG C166,Introduction to Compressible Flow,3,"This course introduces the theory of compressible flows (gases) and the mathematics representation of different flow regimes. Students will learn about the governing equations of general compressible flows and special cases such as inviscid and irrotational flows. The course will cover the following topics: 1D-flow, converging-diverging nozzle, normal and oblique shock definitions and practical examples for aerospace applications, Mach waves, wave equation"
AEROENG,AERO ENG C184,Flight Vehicle Structures and Aeroelasticity,3,"This course introduces engineering students to the analysis and design of load-bearing components of flight structures, ranging from subsonic aircraft to rockets. Emphasis is placed on the quasi-static and dynamic analysis of structural components which are prevalent in aerospace engineering. Attention is also devoted to a comprehensive design roadmap of flight vehicle structures from the full system- to the individual component-level"
AEROENG,AERO ENG 193,Special Topics in Aerospace Engineering,1,This course covers current topics of interest in Aerospace Engineering. Topics and content may vary semester to semester.
AEROENG,AERO ENG C193P,The Final Frontier? Space Technology and National Security Policy,4,"This course explores the intersection of space and national security policy, focusing on the impacts of the evolving strategic environment in space. Students examine the key actors, technologies, and policy frameworks that shape the role of space in the global economy and in modern defense. Topics include: satellite technologies, the militarization of space, the role of private industry in the domain, and governance challenges posed by emerging technologies. The course"
AEROENG,AERO ENG H194,Honors Undergraduate Research,2,Undergraduate students in good academic standing who have completed a satisfactory number of science and engineering courses may pursue original honors research under the supervision of a faculty member. A minimum of 3 units of
AEROENG,AERO ENG 196,Undergraduate Research,2,Undergraduate students in good standing who have completed a satisfactory number of science and engineering courses may pursue original research under the supervision of a faculty member. A minimum of 3 units of
AEROENG,AERO ENG 197,Undergraduate Aerospace Engineering Field Studies,0.5,"Supervised field experience relative to specific aspects of practice in aerospace engineering. Under guidance of a faculty member, the student will work in government or industry, primarily in an internship setting or related type of short-time project. Emphasis is placed on attaining practical experience in the aerospace engineering field."
AEROENG,AERO ENG 198,Directed Group Study for Advanced Undergraduates,1,Group study of a selected topic or topics in Aerospace Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions.
AEROENG,AERO ENG 199,Supervised Independent Study,1,Undergraduate students in good standing who have completed a satisfactory number of science and engineering courses may pursue supervised independent study under the supervision of a faculty member.
AEROSPC,AEROSPC 1A,Foundations of the U.S. Air Force,1,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership"
